,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,Negeri
River & Date of Flood,,"Sg. Chukai
16-17/12",,"Sg. Kemaman
13/9, 29/11-2/12, 
9-13/12",,,,,,"Sg. Kemaman
4/1, 3-4/12","Sg. Kemaman
19-20/12, 30-31/12",
,,"Sg. Ibok
15/12",,"Sg. Kemasik
29/11-2/12",,,,,,"Sg. Chukai
3-4/12",,
,,"Sg. Kemaman
17/11, 15/12, 23-26/12, 30/12",,"Sg. Ibok
29/11-2/12",,,,,,"Sg. Ibok
3-4/12",,
,,"Sg. Pinang
15/12, 23/12",,"Sg. Pinang
30/11-2/12",,,,,,,,
,,"Sg. Musang
23/12",,"Sg. Tebak
1-2/12",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,"Sg. Kertih
29/11-2/12",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,"Sg. Dungun
15/12",,"Sg. Dungun
29/11-2/12",,,,,"Sg. Dungun
9/12, 11-12/12",,"Sg. Dungun
19-20/12, 30-31/12",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,"Sg. Mercang
29/11-2/12",,,,,,"Sg. Mercang
21-28/11",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,"Sg. Kijing / Sg. Rinting
18/11",,"Sungai Marang
1-2/12",,,,,,"Sg. Marang
21-28/11",,
,,"Sg. Marang
23-25/12",,"Sungai Rinting / Sg. Kijing
29/11-2/12",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,"Sg. Ibai
2/12",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,"Sg. Terengganu
18/12",,"Sungai Nerus
2/12",,,,,"Sg. Terengganu
3/11, 20/11, 29/11, 30/11, 1-4/12, 6/12, ","Sg. Terengganu
11-12/1","Sg. Menerong
19/12, 31/12",
,,"Sg. Nerus
17/12",,"Sungai Tererngganu
9/12-13/12",,,,,"Sg. Nerus
3/11, 20/11, 29/11, 1-4/12, 6/12","Sg. Nerus
11-12/1, 6-8/11, 22/11","Sg. Telemong
18/12, 31/12",
,,"Sg. Takir / Sg. Buaya / Sg. Tepoh
18/11 ",,"Sungai Telemong
9/12-13/12",,,,,"Sg. Berang
30/11, 6/12","Sg. Berang
6-8/11","Sg. Nerus
18-19/12, 31/12",
,,"Sg. Tok Jiring
18/11",,"Sungai Menerong
9/12-13/12",,,,,,"Sg. Menerong
6-8/11",,
,,"Sg. Telemong
29-30/12",,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,"Sg. Setiu
16-18/12",,"Sg. Setiu
9/12-13/12",,,,,"Sg. Setiu
29/11, 6/12","Sg. Setiu
4/1, 6-8/11, 22/11","Sg. Setiu
19-20/12, 30/12",
,,"Sg. Guntong
16/12",,"Sg. Penarik
9/12-13/12",,,,,"Sg. Tarom
29/11, 6/12","Sg. Tarom
4/1",,
,,"Sg. Caluk
16/12",,,,,,,"Sg. Calok
29/11, 6/12",,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,"Sg. Besut
16-18/12","Sg. Besut
29-30/1","Sg. Besut
12/12",,,,,"Sg. Besut
9/11, 16/12","Sg. Besut
6-8/11, 21-28/11","Sg. Besut
1/11, 29-31/12",
,,,,"Sg. Jerteh
9/12-10/12",,,,,"Sg. Jertih
9/11, 16/12",,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,Kelantan,
River & Date of Flood,,,"Sg. Air Belaga
9-13/12",,"Sg. Puyu
29/11",,,,"Sg. Semerak
12/2, 21-23/11",,,
,,,,,"Sg. Rasau
29/11",,,,"Sg. Rasau
2-4/1, 12/2, 4-7/11, 21-23/11",,,
,,,,,"Sg.Tualang
29/11",,,,"Sg. Belida
4-7/11",,,
,,,,,"Sg.Telipot
29/11",,,,"Sg. Merkang
4-7/11",,,
,,,,,"Sg. Abal
29/11",,,,"Sg. Abal
2-4/1, 4-7/11",,,
,,,,,"Sg. Alor Tok Darasat
29/11",,,,"Sg. Merbol
4-7/11",,,
,,,,,"Sg. Danan
29/11",,,,,"Sg. Baring
4-7/11",,
,,,,,"Sg. Gali
29/11",,,,,"Sg. Yong
2-4/1, 4-7/11",,
,,,,,"Sg. Telipot
29/11",,,,,"Sg. Gali
2-4/1, 4-7/11",,
,,,,,"Sg. Lubuk Batu
29/11",,,,,"Sg. Taweh
4-7/11",,
,,,,,"Sg. Panchor Ara
29/11",,,,,"Sg. Telosan
4-7/11",,
,,,,,"Sg. Seligi
29/11",,,,,"Sg. Tualang
4-7/11",,
,,,,,,,,,,"Sg. Danan
4-7/11",,
,,,,,,,,,,"Sg. Abal
4-7/11",,
,,,,,,,,,,"Sg. Kelong
2-4/11",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,"Sg. Kemasin
11/7",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,"Sg. Kelantan
15-30/12, 23-29/12","Sg. Kelantan
13-24/12","Sg. Pergau
8-10/12","Sg. Kusial
8-12/12","Sg. Durian
12/8, 22-23/11","Sg. Kelantan
22/12-9/1/07","Sg. KeNo.r
7-9/1","Sg. Kelantan
28/11-11/12","Sg. Kelantan
3-8/1, 1-10/11,
20-26/11",,
,,"Sg. Sat
15-30/12","Sg. Lebir
13-24/12","Sg.Tadus
8-10/12","Sg. Kelantan
29-30/1, 8-16/12","Sg. Geh
17-19/12","Sg. Galas
21-22/12","Sg. Pergau
1/7","Sg. Kusial
29/11","Sg. Sat
4-7/11, 19-25/11",,
,,"Sg. Kerawang
15-30/12","Sg. Sat
9-13/12","Sg. Sat
9-16/12","Sg. Paku
8-12/12","Sg. Kelantan
9-16/12, 17-29/12","Sg. Ketil
21/12","Sg. Sat
1/7","Sg. Sat
29/11","Sg. Pergau
11/6",,
,,"Sg. Galang
15-30/12","Sg. Bagan
9-13/12","Sg. Bagan
9-16/12","Sg. Galas
29-30/1","Sg. Nal
17-19/12,
22-24/11","Sg. Chindai
21/12","Sg. Bakar
1/7","Sg. Bagan
29/11","Sg. Kuala Nal
3-6/1",,
,,"Sg. Joh
15-30/12","Sg. Nal
14-15/12","Sg. Kual
9-16/12","Sg. Geh
29-30/1","Sg. Sam
22-24/11","Sg. Kerak
21-22/12","Sg. Panyit
1/7","Sg. Kemubu
29/11",,,
,,"Sg. Pek
15-30/12","Sg. Bedal
14-15/12","Sg. Kemubu
9-16/12","Sg. Kerukut
29-30/1","Sg. Kusial
21/11-5/1/06","Sg. Chiku
21/12","Sg. Pek
1/7",,,,
,,"Sg. Suda
15-30/12",,"Sg. Kelantan
9-15/12","Sg. Nal
29-30/1, 10-15/12","Sg. Maka
21/11-5/1/06","Sg. Lebir
21-22/12","Sg. Suda
1/7",,,,
,,"Sg. Panyit
15-30/12",,"Sg.Galas
9-15/12","Sg. KeNo.r Mati
29-30/1","Sg. Kepat
21/11-5/1/06","Sg. Kepat
22/12-9/1/07","Sg. Kweng Hitam
1/7",,,,
,,"Sg. Dewan
15-30/12",,"Sg. Geh
9-15/12","Sg. KeNo.r
29-30/1, 10-15/12","Sg. Jegor 
21/11-5/1/06","Sg. Jegor
22/12-9/1/07","Sg. Kelantan
7-10/1",,,,
,,"Sg. Keladi
18-26/12",,"Sg. Kerukut
9-15/12","Sg. Enggong
29-30/1","Sg. Kepat
21/11-5/1/06","Sg. Kusial
22/12-9/1/07",,,,,
,,"Sg. Mulong
18-26/12",,"Sg. Nal
9-15/12","Sg. Stong Kecil
29-30/1","Sg. Pergau
21/11-5/1/06",,,,,,
,,"Sg. Lubok Mulong
18-26/12",,"Sg. KeNo.r Mati
9-15/12","Sg. Krai
29-30/1, 10-15/12","Sg. Taduh
22-23/12",,,,,,
,,"Sg. Pergau
18-20/12",,"Sg. KeNo.r 
9-15/12","Sg. Tebing
29-30/1, 10-15/12","Sg. Balah
22-23/12",,,,,,
,,"Sg. Tadoh
18-20/12",,"Sg. Enggong
9-15/12","Sg. Pas
29-30/1","Sg. Kerak
23-24/11",,,,,,
,,"Sg. Galas
22-23/12",,"Sg. Stong Kecil
9-15/12","Sg. Tasin
29-30/1","Sg. Baka
23-24/11",,,,,,
,,"Sg. Nenggiri
22-23/12",,"Sg. Krai / Sg.Tebing
9-15/12","Sg. Durian
29-30/1, 10-15/12","Sg. Sat
23-24/11, 
8-11/12, 
17-18/12",,,,,,
,,"Sg. Aring
22-23/12",,"Sg. Pas
9-15/12","Sg. Pergau
10-11/12","Sg. Kemubu
8-11/12, 17-18/12",,,,,,
,,"Sg. Chiku
22-23/12",,"Sg. Durian
9-15/12","Sg. Taduh
10-11/12","Sg. Bagan
8-11/12, 17-18/12",,,,,,
,,"Sg. Chindai
22-23/12",,,"Sg. Balah
10-11/12",,,,,,,
,,"Sg. Ketil
22-23/12",,,"Sg. Keroh
10-15/12",,,,,,,
,,"Sg. Relai
22-23/12",,,"Sg. Pahi
10-15/12",,,,,,,
,,"Sg. Kusial
23-29/12",,,"Sg. Pertang
10-15/12",,,,,,,
,,"Sg. Maka
24-29/12",,,"Sg. Sok
10-15/12",,,,,,,
,,"Sg. Malai
24-29/12",,,"Sg. Sam
10-15/12",,,,,,,
,,"Sg. Rambai
24-29/12",,,"Sg. Peria
10-15/12",,,,,,,
,,,,,"Sg. Gatal
10-15/12",,,,,,,
,,,,,"Sg. Sat
10-15/12",,,,,,,
,,,,,"Sg. Kemubu
10-15/12",,,,,,,
,,,,,"Sg. Bagan
10-15/12",,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,"Sg. Golok
23-26/12","Sg. Golok
9-13/12, 21-31/12","Sg. Lanas
8-10/12",,"Sg. Golok
17-29/12","Sg. Golok
21/12-9/1/07","Sg. Golok
7-10/1","Sg. Golok
28/11-11/12",,,
,,,,"Sg. Buloh
8-10/12",,"Sg. Kajang
21/11-5/1/06","Sg. Kajang
21/12-9/1/07",,,,,
,,,,"Sg. Golok
10-16/12",,"Sg. Tanah Merah
21/11-5/1/06","Sg. Tanah Merah
21/12-9/1/07",,,,,
,,,,,,"Sg. Jedok
21/11-5/1/06","Sg. Jedok
21/12-9/1/07",,,,,
,,,,,,"Sg. Asahan
21/11-5/1/06","Sg. Rengas
21-24/12",,,,,
,,,,,,"Sg. Kelisar
21/11-5/1/06","Sg. Tasik Garu
21-24/12",,,,,
,,,,,,"Sg. Air Batu
21/11-5/1/06","Sg. Meranti
21-24/12",,,,,
,,,,,,"Sg. Sendok
21/11-5/1/06",,,,,,
,,,,,,"Sg. Lanas 
21/11-5/1/06",,,,,,
,,,,,,"Sg. Buluh
21/11-5/1/06",,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,Sabah
River & Date of Flood,,,,,,,,,,,"Sg. Saliuh / Sg. Tagol
6-13/5",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,"Sg. Merotai Besar
30/7",,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,"Sg. Kinabutan Kecil
1/5, 25/8",,,"Sg. Tawau
30/7",,"Sg. Kubota
25/2","Sg. Tawau
28/8, 13/9",
,,,,,"Sg. Tawau
25/8",,,"Sg. Kinabutan Besar
30/7",,"Sg. Kinabutan
25/2","Sg. Kubota
13/9",
,,,,,,,,,,"Sg. Membelua
25/2","Sg. Kinabutan Kecil
13/9",
,,,,,,,,,,"Sg. Tawau
25/2, 17/4",,
,,,,,,,,,,"Sg. Apas
17/4",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,"Sg. Tabanak
22/12, 29/12",,,"Sg. Sepagaya
2/10",,,,"Sg. Tabanak
11/9",
,,,,"Sg. Sepagaya
29/12",,,,,,,,
,,,,"Sg. Panchuran
29/12",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,"Sg. Segama
11/2",,,,"Sg. Tengah Nipah
11/9",
,,,,,,,,,,,"Sg. Layong
11/9",
,,,,,,,,,,,"Sg. Segama
11/9",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,"Sg. Kinabatangan
6/12/03-15/1/04","Sg. Kinabatangan
15/12/04-15/1/05","Sg. Kinabatangan
21/12/04-15/1/05","Sg. Kinabatangan
2/1-3/3",,,"Sg. Kinabatangan
4-23/2","Sg. Kinabatangan
15/1-5/2",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,"Sg. Matopang
29/5",,,,,"Sg. Gana
26/6",,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,"Sg. Kebatasan
21-22/12",,,,"Sg. Bengkoka
3-15/1",,"Sg. Bengkoka
14/1, 16/1",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,"Sg. Taka
21-22/12",,,,,,"Sg. Taka
14/1, 16/1",,
,,,,,,,,,,"Sg. Kelipoun
14/1, 16/1",,
,,,,,,,,,,"Sg. Rukom
14/1, 16/1",,
,,,,,,,,,,"Sg. Toyok
14/1, 16/1",,
RTB (Date of Completion),,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,"Sg. Tandek
21-22/12","Sg. Tandek
25/1",,,"Sg. Tandek
26/12, 29/12","Sg. Beliajong
3-4/1","Sg. Tandek
3-4/1, 12-16/1",,
,,,,"Sg. Rasak Darat
21-22/12",,,,,,"Sg. Magarutung
3-4/1, 12-16/1",,
,,,,,,,,,,"Sg. Rasak
3-4/1, 12-16/1",,
,,,,,,,,,,"Sg. Minardasung
3-4/1",,
,,,,,,,,,,"Sg. Linukaan
12-16/1",,
,,,,,,,,,,"Sg. Mondingi
12-16/1",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,"Sg. Bongon
21-22/12","Sg. Bongon
25/1",,"Sg. Bongon
7-9/2, 26/12, 
28-31/12","Sg. Bongon
1-9/1, 10/1, 13/1,","Sg. Bongon
3-4/1, 16-18/2","Sg. Bongon
3-4/1, 12-16/1",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,"Sg. Bandau
7-16/1","Sg. Bandau
21-22/12","Sg. Bandau
25/1",,"Sg. Bandau
7-9/2","Sg. Bandau
3/1, 5/1, 7/1, 8/1, 10/1","Sg. Bandau
3-4/1","Sg. Bandau
3-4/1, 12-16/12",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,"Sg. Bintasan
25/1",,,,,"Sg. Langkon
12-16/1",,
,,,,,"Sg. Mengaris
25/1",,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,"Sg. Rampai
26-28/12",,,"Sg. Tamalang
3/1",,
,,,,,,,,,,"Sg. Rampai
3/1",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,"Sg. Balagaton / Sg. Merah
12-16/1",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,"Sg. Tempasuk
25/6","Sg. Tempasuk
27/1, 29/1, 2-3/5, 5-6/5, 12-13/6,
15-16/6, 22-23/10","Sg. Tempasuk
16/2, 19/2, 24/4, 27/7, ",,"Sg. Tempasuk
29/9, 7-8/10, 12/11",
,,,,,,,,"Sg. Gurong-Gurong
27/1, 29/1, 19/11","Sg. Kesapang
19/2",,"Sg. Gunding
11/12",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,"Sg. Abai
29/9, 7-8/10, 11/12",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,"Sg. Tuaran
26/6",,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,"Sg. Telipok
17/7",,,,,"Sg. Telipok
9-10/5",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,"Sg. Tebobon
9-10/5",
,,,,,,,,,,,"Sg. Keliangau
9-10/5",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,"Sg. Moyog
13-14/3",,,,,"Sg. Moyog
26/6",,,,"Sg. Kibabaig
9-10/5",
,,,,,,,"Sg. Kibabaig
26/6",,,,"Sg. Kolopis
9-10/5",
,,,,,,,"Sg. Kolopis
26/6",,,,"Sg. Moyog
9-10/5",
,,,,,,,"Sg. Maang
26/6",,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,"Sg. Papar
12-13/3",,,"Sg. Tiku
5/1, 25/8",,"Sg. Papar
26/6",,,,,
,,"Sg. Kawang
3-11/10",,,,,"Sg. Kinarut
26/6",,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,"Sg. Kimanis
12-13/3",,,,,"Sg. Kimanis
26/6",,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,"Sg. Bongawan
3-11/10","Sg. Bongawan
8/10",,,,"Sg. Bongawan
26/6",,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,"Sg. Membakut
8-11/10, 2-7/11",,,,,"Sg. Membakut
25-27/6",,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,"Sg. Padas
3-7/1, 17-20/1,
5-8/3, 9-10/10, 31/10-6/11","Sg. Pamaluyan
9-12/10","Sg. Baribawa
10/9",,,"Sg. Padas
25-29/6","Sg. Padas
4-8/1, 12-17/1, 21-23/3","Sg. Padas
19/2, 7-10/11","Sg. Longop
3-4/1, 12-16/1","Sg. Padas
20-23/7, 10-14/11",
,,"Sg. Mempikit
3/4",,"Sg. Padas
9-11/10",,,"Sg. Pandawan
26/6",,,"Sg. Sook
24/1","Sg. Pegalan
11/11",
,,"Sg. Naluyan
24-25/11",,,,,,,,"Sg. Biah
24/1","Sg. PoNo.ntomon
11/11",
,,,,,,,,,,"Sg. Kuaran
24/1","Sg. Tolokoson
11/11",
,,,,,,,,,,"Sg. Padas
21-28/1, 6-9/2, 
12-22/3","Sg. Marais
11/11",
,,,,,,,,,,,"Sg. Tomani
11/11",
,,,,,,,,,,,"Sg. Kuaran
11/11",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,"Sg. Lakutan
10/12",,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,Sarawak
