,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,Negeri
,,,,,"Prt. Saliran Ladang
16-18/11",,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,"Sg. Air Tawar
26/11","Sg. Bruas / Sg. Dendang / Sg. Rotan
21-24/11",,"Sg. Pundut
7-8/12",,"Sg. Lumut Kiri / Pt. Hj. Dollah / Sg. Sempit / Pt. Pasir Panjang
26/2-3/3",,"Sg. Rotan
7/3, 23-27/10",,,
,,,"Sg. Air Tawar
26-28/11",,"Sg. Air Tawar
12-13/12",,"Sg. Sempit
30/9-4/10",,"Sg. Beruas
23-27/10",,,
,,,,,,,"Sg. Dendang
16/11",,,,,
,,,,,,,"Sg. Rotan
1/12",,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,"Sg. Perak
30/4-3/5, 2-3/11, 26-29/11","Sg. Perak
17/4, 2-11/5,
8-11/10, 5-7/11, 19-28/11","Sg. Perak
16-17/5, 10-15/10, 22-29/10, 5/11, 4-23/11","Sg. Perak
10-11/5, 
27/9-7/10, 
25-31/10, 5/11, 17-18/11, 
14-23/12 ","Sg. Perak
1-10/1, 15-19/7, 19-20/10, 11-31/12","Sg. Perak
31/5-8/6, 
24/10-2/11,
13/11-8/12, ","Sg. Perak
23-29/4, 9/6,
18-19/6, 23-29/7, 5-7/9, 10-11/9, 9/10, 17-18/10, 22-31/10, 19-28/12   ","Sg. Perak
26-28/3, 9/4, 9/5, 9/8, 4-12/9,
19-31/10,
27/11-5/12, 9/12, ","Sg. Perak
5-7/1, 13-15/4, 1/5, 1/7, 14-19/11","Sg. Perak
10/1,12/3, 20/8, 30/9-1/10, 7-9/10, 26-28/11, ",
,,"Sg. Perak / Sg. Kinta
1-8/1, 30/4-9/5, 11/10, 1-12/11,
27-30/11","Sg. Perak / Sg. Kinta
2-11/5, 19-28/11","Sg .Perak / Sg. Dedap
10-14/10,
24-29/10,
22-26/11","Sg. Perak / Sg. Kayan
28-30/10","Sg. Jelawat / Sg. Bidor
19-20/10","Sg. Kepayang
21/3","Sg. Perak / Sg. Bidor / Sg. Sungkai / Sg. Chikus / Sg. Manik / Sg. Lampam / Sg. Batang Padang
25/12","Sg. Bidor
17/10, 22-23/10","Sg. Kangsar
1/1","Sg. Sumpitan
26/8",
,,"Sg. Perak / Sg. Dedap
16-19/11","Sg. Perak / Sg. Dedap
8-10/10, 5-7/11, 21/11","Sg. Perak/ Sg. Kinta
8-23/11","Sg. Lenggong
6/2, 13/10, 22/10, 13/11","Sg. Bidor / Sg. Sungkai
19-20/10","Sg. Pelus
20/4, 4/9","Sg. Siput Chandan
16/10","Sg. Btg. Padang
22/10","Sg. Pelus
1/2, 29/10","Sg. Temelong
17/9",
,,"Sg. Klah
26/4, 9/11","Sg. Berof
8/4","Sg. Perak / Sg. Kayan
28-30/10","Sg. Nerok
6/2, 28-29/9, 13/10, 22/10, 13/11","Sg. Chikus / 
Sg. Manik / 
Sg. Lampam / 
Sg. Btg Padang
19-20/10","Sg. Kangsar
24/10, 29-30/11","Sg. Kangsar
20/11","Sg. Sungkai Mati / Sg. Seluang / Sg. Sungkai Hidup
22/10","Sg. Papan
10/5, 18/9","Sg. Kenderong
17/8",
,,"Sg. Pari
28/4","Sg. Balun
8/4","Sg. Kelah
2/10","Sg. Pelus
28/9",,"Sg. Biong
24/10","Sg. Chempias
20/11","Sg. Tupai / Sg. Larut
12/2, 30/6","Sg. Temong
23/11","Sg. Kulim
28/9",
,,"Sungai Trolak
25-26/1","Sg. Jeni
8/4","Sg. Rokam / Sg. Pinji
27/3, 29/3, 3-4/3","Sg. Kopisan 
5/4",,"Sg. Jeliang
24/10","Sg. Papan
20-21/11","Sg. Tupai
16/11","Sg. Chempias
23/11","Sg. Pinji / Sg. Pari
22-23/1, 3-4/2, 1/3, 4/3, 13/3, 20-21/3, 27/3, 31/3, 7/4, 15/4, 27/4, 1/5, 3/5, 16/5, 18/5, 11/6, 13/6, 16/6, 27/6, 7/7, 5/8, 11/8, 13-14/8, 18/8, 30/8, 5/9, 1/10, 7/10, 13/11, 17-19/11, 21/11, 28/11, 1/12, 6/12, 8/12",
,,"Sg. Keneriang / Sg. Lawin
25-26/1","Sg. Trolak
8/4","Sg. Rapat
27/3, 29/3, 3-4/3, 6/11","Sg. Pinji
5/10, 15/10",,"Sg. Chempias
29-30/11","Sg. Pelus
9/4, 11/4, 27/7, 9/8","Sg. Kinta / Sg. Raia / Sg. Pari
25/3","Sg. Siput Chandan
23/11","Sg. Rasau
17/8",
